epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
9,41.3521,1.59459,1.9286,1.67943,0.84011,0.83337,0.88044,0.47428,1.51248,1.48192,1.60017,0.001067,0.001067,0.001067
10,45.7905,1.53275,1.81214,1.59769,0.75569,0.77681,0.78549,0.41014,1.5227,1.45402,1.64634,0.0010615,0.0010615,0.0010615
11,50.2003,1.5228,1.7556,1.59114,0.85203,0.85853,0.91747,0.53136,1.4309,1.2472,1.554,0.00105601,0.00105601,0.00105601
12,54.5726,1.55585,1.70983,1.62184,0.91909,0.85951,0.91312,0.51874,1.39045,1.16033,1.53863,0.00105051,0.00105051,0.00105051
13,58.8972,1.54882,1.63483,1.58194,0.8329,0.90234,0.92023,0.47205,1.54688,1.27572,1.61448,0.00104501,0.00104501,0.00104501
14,63.2008,1.5479,1.74634,1.63413,0.88849,0.79027,0.89474,0.47692,1.52039,1.28486,1.56734,0.00103951,0.00103951,0.00103951
15,67.5555,1.48553,1.60433,1.56752,0.90352,0.89705,0.93388,0.54435,1.44008,1.0618,1.50618,0.00103401,0.00103401,0.00103401
16,71.8873,1.4748,1.52123,1.5467,0.88837,0.88625,0.91827,0.54179,1.39812,0.99794,1.49922,0.00102851,0.00102851,0.00102851
17,76.3943,1.43484,1.44087,1.50055,0.89056,0.91358,0.92132,0.54023,1.4236,0.99203,1.52132,0.00102301,0.00102301,0.00102301
18,80.8389,1.46098,1.47095,1.55714,0.92866,0.90324,0.93795,0.537,1.4233,0.97115,1.51721,0.00101751,0.00101751,0.00101751
19,85.2489,1.45144,1.45489,1.51871,0.92199,0.89995,0.93444,0.55585,1.4233,0.94216,1.51488,0.00101201,0.00101201,0.00101201
20,89.7151,1.41886,1.40497,1.50753,0.91585,0.90114,0.93834,0.56285,1.43254,0.91097,1.50327,0.00100651,0.00100651,0.00100651
21,94.1372,1.43257,1.34517,1.51139,0.93025,0.91363,0.95319,0.54563,1.4877,0.89922,1.52644,0.00100101,0.00100101,0.00100101
22,98.6455,1.42544,1.35395,1.481,0.96563,0.92476,0.96014,0.53995,1.44237,0.87934,1.50997,0.000995512,0.000995512,0.000995512
23,103.06,1.42958,1.34597,1.52836,0.95787,0.91784,0.94324,0.52746,1.68925,0.96517,1.64848,0.000990012,0.000990012,0.000990012
24,107.479,1.38514,1.22652,1.46246,0.94389,0.89258,0.93306,0.54155,1.53709,0.88674,1.53939,0.000984513,0.000984513,0.000984513
25,111.85,1.40875,1.17882,1.44169,0.93743,0.91422,0.94906,0.55168,1.66137,0.90415,1.61997,0.000979013,0.000979013,0.000979013
26,116.193,1.36849,1.27881,1.48412,0.9643,0.90922,0.96167,0.57704,1.46067,0.85954,1.51442,0.000973514,0.000973514,0.000973514
27,120.673,1.37836,1.23439,1.47118,0.96045,0.93029,0.96689,0.56449,1.50599,0.89178,1.52444,0.000968014,0.000968014,0.000968014
28,125.017,1.36592,1.24493,1.5094,0.95108,0.91336,0.94096,0.5541,1.392,0.84414,1.4952,0.000962515,0.000962515,0.000962515
29,129.389,1.35228,1.17685,1.46798,0.96054,0.93583,0.95399,0.55361,1.40675,0.81348,1.47696,0.000957015,0.000957015,0.000957015
30,133.643,1.36627,1.19988,1.50136,0.92997,0.94347,0.95722,0.56505,1.4044,0.79241,1.48276,0.000951516,0.000951516,0.000951516
31,137.989,1.33224,1.0824,1.39084,0.93437,0.92869,0.95284,0.55587,1.53239,0.82813,1.5331,0.000946016,0.000946016,0.000946016
32,142.326,1.34151,1.16107,1.47548,0.93982,0.88051,0.94607,0.56224,1.50915,0.79662,1.51855,0.000940517,0.000940517,0.000940517
33,146.731,1.32065,1.06968,1.40925,0.94373,0.92312,0.96307,0.56701,1.48655,0.78173,1.52076,0.000935018,0.000935018,0.000935018
34,151.061,1.31016,1.06927,1.40934,0.93177,0.93229,0.95292,0.54571,1.45431,0.80329,1.52576,0.000929518,0.000929518,0.000929518
35,155.405,1.26901,1.04331,1.39109,0.92566,0.90818,0.94353,0.5489,1.45278,0.77386,1.50764,0.000924019,0.000924019,0.000924019
36,159.806,1.29621,1.08858,1.42826,0.9425,0.90217,0.95418,0.54013,1.52615,0.78062,1.56373,0.000918519,0.000918519,0.000918519
37,164.265,1.28492,1.04135,1.40781,0.94862,0.93476,0.94373,0.55976,1.48289,0.75191,1.52649,0.00091302,0.00091302,0.00091302
38,168.633,1.28212,1.04495,1.42195,0.96762,0.92479,0.9438,0.57336,1.44204,0.72584,1.49775,0.00090752,0.00090752,0.00090752
39,172.954,1.27255,1.03317,1.40224,0.93832,0.94982,0.96565,0.55398,1.51423,0.78277,1.53429,0.000902021,0.000902021,0.000902021
40,177.349,1.28061,1.05251,1.41912,0.95004,0.95595,0.95815,0.55842,1.45473,0.75989,1.50819,0.000896521,0.000896521,0.000896521
41,181.736,1.26032,1.01111,1.39242,0.95545,0.9164,0.95628,0.55596,1.46337,0.77564,1.51333,0.000891022,0.000891022,0.000891022
42,186.087,1.27985,0.98044,1.36199,0.93009,0.92323,0.95477,0.55783,1.45558,0.74537,1.50611,0.000885523,0.000885523,0.000885523
43,190.385,1.29144,1.03627,1.45198,0.96796,0.93349,0.97078,0.55014,1.48963,0.74687,1.53144,0.000880023,0.000880023,0.000880023
44,194.846,1.27239,0.98999,1.40393,0.98316,0.89708,0.95581,0.56578,1.46746,0.75754,1.52732,0.000874524,0.000874524,0.000874524
45,199.405,1.24189,0.95773,1.38045,0.95855,0.91665,0.95767,0.54569,1.55083,0.79896,1.57,0.000869024,0.000869024,0.000869024
46,203.842,1.26238,0.95911,1.41412,0.9651,0.92346,0.95605,0.54183,1.5579,0.80168,1.56691,0.000863525,0.000863525,0.000863525
47,208.178,1.23706,0.91975,1.37344,0.94372,0.93483,0.95151,0.568,1.49958,0.73842,1.51743,0.000858025,0.000858025,0.000858025
48,212.505,1.25438,0.9482,1.39473,0.95051,0.91501,0.94249,0.55108,1.48833,0.72383,1.50401,0.000852526,0.000852526,0.000852526
49,216.825,1.23702,0.89983,1.37996,0.95,0.90767,0.95626,0.53638,1.56422,0.75334,1.56946,0.000847026,0.000847026,0.000847026
50,221.177,1.24018,0.8983,1.38269,0.94658,0.89722,0.9448,0.53493,1.50814,0.76078,1.56767,0.000841527,0.000841527,0.000841527
51,225.53,1.23528,0.92831,1.37763,0.94352,0.92029,0.95275,0.54074,1.50308,0.71311,1.5495,0.000836027,0.000836027,0.000836027
52,229.856,1.24629,0.89462,1.41394,0.96889,0.92986,0.95535,0.55298,1.50616,0.70183,1.53197,0.000830528,0.000830528,0.000830528
53,234.151,1.24725,0.97423,1.40738,0.95577,0.93336,0.96269,0.56171,1.47849,0.70718,1.51853,0.000825029,0.000825029,0.000825029
54,238.451,1.24221,0.88457,1.35983,0.97021,0.92123,0.95638,0.56322,1.47016,0.69815,1.50687,0.000819529,0.000819529,0.000819529
55,242.751,1.23667,0.86218,1.34594,0.96217,0.91615,0.95769,0.56403,1.45768,0.68015,1.51313,0.00081403,0.00081403,0.00081403
56,247.117,1.21357,0.87471,1.35234,0.97225,0.94806,0.97138,0.56203,1.49884,0.68097,1.53298,0.00080853,0.00080853,0.00080853
57,251.517,1.19731,0.849,1.37415,0.96403,0.91785,0.9622,0.55993,1.49523,0.69402,1.51962,0.000803031,0.000803031,0.000803031
58,255.884,1.20317,0.86629,1.36232,0.97974,0.91476,0.95448,0.54142,1.64696,0.72992,1.62713,0.000797531,0.000797531,0.000797531
59,260.32,1.19959,0.82913,1.34252,0.96741,0.91615,0.96018,0.54182,1.61715,0.7038,1.59419,0.000792032,0.000792032,0.000792032
60,264.904,1.18614,0.83962,1.34352,0.95243,0.9475,0.95746,0.55668,1.55025,0.69519,1.56265,0.000786532,0.000786532,0.000786532
61,269.301,1.21832,0.81866,1.32227,0.96269,0.93617,0.96216,0.55451,1.54927,0.69297,1.55309,0.000781033,0.000781033,0.000781033
62,273.678,1.18822,0.82462,1.33946,0.95691,0.91953,0.95452,0.56252,1.52164,0.70512,1.52984,0.000775534,0.000775534,0.000775534
63,278.155,1.16635,0.78864,1.33032,0.96673,0.92985,0.95955,0.56837,1.5215,0.70125,1.52805,0.000770034,0.000770034,0.000770034
64,282.601,1.15518,0.80696,1.35986,0.96703,0.93195,0.96055,0.55525,1.60383,0.69585,1.58189,0.000764535,0.000764535,0.000764535
65,286.987,1.16325,0.81333,1.35772,0.98163,0.9261,0.96404,0.55103,1.58902,0.67565,1.58722,0.000759035,0.000759035,0.000759035
66,291.328,1.15279,0.77633,1.33295,0.97507,0.9245,0.95403,0.55678,1.5946,0.69523,1.5875,0.000753536,0.000753536,0.000753536
