epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,83.9785,0.84743,0.96465,1.16623,0.93962,0.92307,0.98629,0.7315,0.91777,1.09145,1.19972,0.000547856,0.000547856,0.000547856
66,85.2318,0.88342,0.91783,1.15818,0.96208,0.93167,0.98879,0.71692,0.94882,1.06516,1.19356,0.000539057,0.000539057,0.000539057
67,86.4735,0.82694,0.90659,1.11661,0.96208,0.93167,0.98879,0.71692,0.94882,1.06516,1.19356,0.000530258,0.000530258,0.000530258
68,87.7154,0.84235,0.88184,1.11573,0.96361,0.94406,0.99152,0.72127,0.96234,1.05933,1.18974,0.000521459,0.000521459,0.000521459
69,88.9571,0.83318,0.87098,1.12138,0.96361,0.94406,0.99152,0.72127,0.96234,1.05933,1.18974,0.00051266,0.00051266,0.00051266
70,90.2125,0.86831,0.92271,1.14117,0.96783,0.96584,0.99213,0.74935,0.87233,1.01383,1.14291,0.000503861,0.000503861,0.000503861
71,91.4801,0.80598,0.91188,1.10275,0.96783,0.96584,0.99213,0.74935,0.87233,1.01383,1.14291,0.000495062,0.000495062,0.000495062
72,92.7572,0.82595,0.87391,1.12336,0.96846,0.97529,0.99314,0.76893,0.81763,0.99329,1.10646,0.000486262,0.000486262,0.000486262
73,93.9901,0.83176,0.9742,1.19103,0.96846,0.97529,0.99314,0.76893,0.81763,0.99329,1.10646,0.000477463,0.000477463,0.000477463
74,95.2721,0.80338,0.87014,1.09589,0.96822,0.97939,0.99357,0.78679,0.79027,1.00736,1.08692,0.000468664,0.000468664,0.000468664
75,96.5278,0.86504,0.88209,1.08803,0.96822,0.97939,0.99357,0.78679,0.79027,1.00736,1.08692,0.000459865,0.000459865,0.000459865
76,97.781,0.86277,0.89753,1.13366,0.97419,0.99276,0.99407,0.76441,0.8553,1.01728,1.1345,0.000451066,0.000451066,0.000451066
77,99.0017,0.77522,0.88862,1.09284,0.97419,0.99276,0.99407,0.76441,0.8553,1.01728,1.1345,0.000442267,0.000442267,0.000442267
78,100.259,0.82406,0.89389,1.10667,0.97474,0.9937,0.99389,0.74046,0.89548,0.98196,1.15366,0.000433468,0.000433468,0.000433468
79,101.488,0.80445,0.84961,1.07811,0.97474,0.9937,0.99389,0.74046,0.89548,0.98196,1.15366,0.000424669,0.000424669,0.000424669
80,102.782,0.88189,0.99438,1.20229,0.97233,0.99299,0.99416,0.77485,0.80408,0.91482,1.09061,0.00041587,0.00041587,0.00041587
81,103.997,0.82443,0.87233,1.10664,0.97233,0.99299,0.99416,0.77485,0.80408,0.91482,1.09061,0.00040707,0.00040707,0.00040707
82,105.257,0.76313,0.88783,1.10819,0.96869,0.99692,0.99427,0.81215,0.69926,0.83508,1.02137,0.000398271,0.000398271,0.000398271
83,106.491,0.77459,0.88622,1.0883,0.96869,0.99692,0.99427,0.81215,0.69926,0.83508,1.02137,0.000389472,0.000389472,0.000389472
84,107.787,0.77593,0.86255,1.0884,0.98114,0.99749,0.99476,0.83119,0.67189,0.76984,1.00478,0.000380673,0.000380673,0.000380673
85,109.017,0.76979,0.85023,1.07436,0.98114,0.99749,0.99476,0.83119,0.67189,0.76984,1.00478,0.000371874,0.000371874,0.000371874
86,110.275,0.80305,0.83996,1.07363,0.98283,0.9966,0.99476,0.78761,0.77706,0.74121,1.07734,0.000363075,0.000363075,0.000363075
87,111.528,0.73608,0.78294,1.0404,0.98283,0.9966,0.99476,0.78761,0.77706,0.74121,1.07734,0.000354276,0.000354276,0.000354276
88,112.803,0.77042,0.80415,1.05696,0.98602,0.99318,0.9949,0.76072,0.85094,0.73095,1.13424,0.000345477,0.000345477,0.000345477
89,114.047,0.75102,0.82432,1.07555,0.98602,0.99318,0.9949,0.76072,0.85094,0.73095,1.13424,0.000336677,0.000336677,0.000336677
90,115.305,0.76108,0.82457,1.085,0.98876,0.99998,0.995,0.80396,0.74724,0.68984,1.06087,0.000327878,0.000327878,0.000327878
91,116.535,0.72029,0.76269,1.00051,0.98876,0.99998,0.995,0.80396,0.74724,0.68984,1.06087,0.000319079,0.000319079,0.000319079
92,117.793,0.70569,0.77938,1.04111,0.98502,0.99491,0.995,0.83593,0.62159,0.66287,0.98362,0.00031028,0.00031028,0.00031028
93,119.023,0.73446,0.77097,1.05639,0.98502,0.99491,0.995,0.83593,0.62159,0.66287,0.98362,0.000301481,0.000301481,0.000301481
94,120.314,0.77613,0.80048,1.10429,0.98322,0.99211,0.995,0.84361,0.60753,0.66466,0.98029,0.000292682,0.000292682,0.000292682
95,121.552,0.73876,0.78472,1.06436,0.98322,0.99211,0.995,0.84361,0.60753,0.66466,0.98029,0.000283883,0.000283883,0.000283883
96,122.807,0.74042,0.77504,1.05108,0.97797,0.99254,0.995,0.8152,0.6924,0.67213,1.03379,0.000275084,0.000275084,0.000275084
97,124.029,0.72574,0.82014,1.09979,0.97797,0.99254,0.995,0.8152,0.6924,0.67213,1.03379,0.000266284,0.000266284,0.000266284
98,125.303,0.6782,0.76277,1.03546,0.97589,0.99574,0.995,0.78943,0.78133,0.68043,1.09167,0.000257485,0.000257485,0.000257485
99,126.523,0.70259,0.7683,1.03793,0.97589,0.99574,0.995,0.78943,0.78133,0.68043,1.09167,0.000248686,0.000248686,0.000248686
100,127.788,0.76587,0.81972,1.0733,0.97873,0.9932,0.9949,0.80432,0.72912,0.65733,1.05716,0.000239887,0.000239887,0.000239887
